分类	网站名称	网址	主要功能	覆盖范围	语言	备注
药物批准信息查询	美国 FDA 孤儿药数据库	https://www.accessdata.fda.gov/scripts/opdlisting/oopd	可按产品名、赞助商、指定日期等检索	美国	英语/多语言辅助	支持下载 Excel
药物批准信息查询	NMPA 审评报告	https://www.nmpa.gov.cn	中国药品审评审批信息，含罕见病药通道	中国	中文	2020 报告显示临床急需境外已上市新药 100% 按时完成审结
药物批准信息查询	EMA 孤儿药与 PRIME	https://www.ema.europa.eu/en/our-work/medicines-development/rare-diseases	欧盟孤儿药指定、PRIME 评审和批准信息	欧盟	英语	2023 年授予 17 个孤儿药指定，提供加速审批通道
药物资讯平台	OrphaNet	https://www.orpha.net	罕见疾病和孤儿药物综合信息库，含新闻、报告和活动	欧洲/全球	多语言	月均页面浏览量达 280 万，涵盖 6528 种罕见病
药物资讯平台	DDW-Online	https://www.ddw-online.com	罕见病药物开发和行业动态新闻	全球	英语	2025 年报道生物技术行业欢迎罕见病药物开发计划
药物资讯平台	BioBuzz	https://news.biobuzz.io	生物技术公司和罕见病药物研发进展报道	全球	英语	2025 年专题报道五家生物技术企业罕见病项目
市场分析	ZS 罕见病创新分析	https://www.zs.com/insights/rare-disease-pharma-innovation	包含非肿瘤罕见病药物批准演变趋势、审批预测和管线分析	全球	英语	处方药销售 20% 势、审批预测和管线分析
临床试验查询	ClinicalTrials.gov	https://clinicaltrials.gov	全球临床试验注册与检索	全球	英语	支持 400+ 国家/地区，含罕见病试验过滤
临床试验查询	ChiCTR	http://www.chictr.org.cn	中国临床试验注册中心	中国	中文	国内罕见病试验最全来源
患者援助	NORD 患者援助项目	https://rarediseases.org/patients/help-now/	美国罕见病患者经济与药物援助	美国	英语	涵盖 1200+ 种罕见病
患者援助	中国医药援助工程	地方医保/民政公众号	各地罕见病医保与特殊门诊政策	中国	中文	需关注当地医保局通知
药物数据库	DrugBank	https://go.drugbank.com	药物结构、靶点、相互作用等批量数据	全球	英语	提供开放 API
药物数据库	Orphadata	http://www.orphadata.org	OrphaNet 结构化数据下载	全球	英语	每月更新，支持 JSON/XML
研发管线	Evaluate Pharma	https://www.evaluate.com	罕见病药物市场与研发管线报告	全球	英语	需订阅
研发管线	IQVIA 罕见病报告	https://www.iqvia.com	罕见病药物市场、准入与支付研究	全球	英语	需订阅
研发管线	GlobalData 罕见病管线	https://www.globaldata.com	罕见病在研药物与竞争格局	全球	英语	需订阅
研发管线	Pharmaprojects	https://pharmaintelligence.informa.com	全球在研药物管线数据库	全球	英语	需订阅
新闻资讯	STAT News 罕见病频道	https://www.statnews.com/topic/rare-diseases	全球罕见病政策与研发新闻	全球	英语	免费浏览
新闻资讯	BioWorld 罕见病	https://www.bioworld.com	罕见病并购、融资、上市动态	全球	英语	部分免费
新闻资讯	FiercePharma 罕见病	https://www.fiercepharma.com	制药公司罕见药业务动态	全球	英语	免费浏览
新闻资讯	Rare Disease Report	https://www.raredr.com	罕见病临床、监管与商业资讯	全球	英语	免费浏览
学术资源	OMIM	https://omim.org	罕见病基因-表型关联数据库	全球	英语	免费
学术资源	GeneReviews	https://www.ncbi.nlm.nih.gov/books/NBK1116/	罕见病临床与遗传学综述	全球	英语	免费
学术资源	PubMed	https://pubmed.ncbi.nlm.nih.gov	生物医学论文检索，可按疾病、治疗、临床试验筛选	全球	英语	官方 NCBI 检索入口
学术资源	Orphanet Journal of Rare Diseases	https://ojrd.biomedcentral.com	同行评议罕见病研究期刊	全球	英语	开放获取
学术资源	Journal of Rare Disorders	https://journals.sagepub.com/home/jrd	罕见病临床与转化研究	全球	英语	开放获取
会议与社群	Global Genes 罕见病峰会	https://globalgenes.org/events	全球患者、研究者、企业年度峰会	全球	英语	每年 9 月
会议与社群	ERD 欧洲罕见病大会	https://www.ehfg.org/erd	欧洲罕见病政策与研发论坛	欧盟	英语	每年 5 月
